,Target_Variable,Target_Overweight,Target_Included,Items_Per_Scale,Predictions,mse,hit_0_trained,hit_1_trained,hit_0_untrained,hit_1_untrained
832,O6,1,TRUE,1,O6 ~ A5 + C10 + E10 + N4 + O9,"0,979220301","0,436524100","0,873048201","0,467323035","0,885418435"
833,O6,1,TRUE,1,O6 ~ A4 + C6 + E4 + N7 + O1,"0,981214351","0,452817379","0,870332654","0,477677814","0,884399932"
834,O6,1,TRUE,1,O6 ~ A1 + C9 + E9 + N6 + O10,"0,961777422","0,461642906","0,877800407","0,497538618","0,889662197"
835,O6,1,TRUE,1,O6 ~ A4 + C8 + E7 + N6 + O5,"1,003911333","0,475899525","0,869653768","0,498896622","0,885248684"
836,O6,2,TRUE,1,O6 ~ A2 + C5 + E1 + N10 + O9 + O1,"0,983417624","0,454175153","0,868295995","0,485995586","0,884909184"
837,O6,2,TRUE,1,O6 ~ A8 + C8 + E4 + N8 + O9 + O7,"0,981388823","0,448065173","0,867617108","0,485656086","0,882532677"
838,O6,2,TRUE,1,O6 ~ A1 + C8 + E5 + N2 + O10 + O5,"0,962872338","0,469110659","0,873048201","0,507044644","0,890341198"
839,O6,2,TRUE,1,O6 ~ A5 + C7 + E2 + N6 + O10 + O7,"0,944149082","0,475899525","0,880515954","0,516550671","0,892887455"
840,O6,2,TRUE,1,O6 ~ A1 + C4 + E3 + N9 + O10 + O1,"0,943865547","0,455532926","0,874405974","0,502800883","0,890850450"
841,O6,3,TRUE,1,O6 ~ A9 + C6 + E10 + N5 + O7 + O9 + O10,"0,960830859","0,470468432","0,873048201","0,524868443","0,891189951"
842,O6,3,TRUE,1,O6 ~ A4 + C9 + E7 + N9 + O3 + O7 + O10,"0,950331594","0,495587237","0,881194840","0,546257002","0,896961467"
843,O6,3,TRUE,1,O6 ~ A2 + C7 + E4 + N10 + O2 + O7 + O5,"0,952711106","0,479972845","0,872369314","0,521473434","0,890680699"
844,O6,3,TRUE,1,O6 ~ A4 + C6 + E5 + N7 + O9 + O10 + O9,"0,975120319","0,469110659","0,873727088","0,507384145","0,891868953"
845,O6,3,TRUE,1,O6 ~ A5 + C9 + E1 + N10 + O5 + O1 + O10,"0,950319068","0,484725051","0,873048201","0,521643185","0,892208454"
846,O6,4,TRUE,1,O6 ~ A3 + C4 + E1 + N7 + O3 + O1 + O4 + O8,"0,938470857","0,502376103","0,883231500","0,551010015","0,901035478"
